"id","name_sport","location_sport","dcode","stdcode","type_sport","area_sm","data_perf","ownership","chairman","detail","num_users","sum_month","sum_year","remark","adddate","updatedate"
"162","ชุมชนหมู่บ้านพัฒนา 70 ไร่ (ลาน 1)","ถ.ดำรงสิทธิพัฒนา","1033","a","2","2500","","","นายวัณรบ  หิริกุล","ฟุตบอล บาสเกตบอล ตะกร้อ แบดมินตัน แอโรบิค สนามเด็กเล่น","1860","8","2563","","2020-09-23","2021-04-29"
"161","ร่มเกล้า (ลาน 2)","ใต้ทางด่วนชุมชนร่มเกล้า ถ.อาจณรงค์","1033","c","2","62.5","","","นายจือเดี้ยง  แช่เอ้ย","ฟุตบอล บาสเกดบอล","620","8","2563","","2020-09-23","2021-04-29"
"160","ร่มเกล้า (ลาน 1)","ใต้ทางด่วนชุมชนร่มเกล้า ถ.อาจณรงค์","1033","b","3","400","","","นายจือเดี้ยง  แช่เอ้ย","ฟุตบอล บาสเกดบอล","930","8","2563","","2020-09-23","2021-04-29"
"159","พัฒนาชุมชนใหม่ (แฟลต 19-22)","ถ.บำรุงสิทธิพิพัฒน์","1033","b","2","266.5","","","นายสมพิศ  ผอบเพ็ชร","ฟุตบอล บาสเกตบอล ตะกร้อ","2170","8","2563","","2020-09-23","2021-04-29"
"158","แฟลต 11-18 (ลาน 2)","แฟลต 16 ถ. อาจณรงค์","1033","c","2","122.5","","","นายอุดม  เป็นสุยข","ฟุตบอล บาสเกตบอล","2170","8","2563","","2020-09-23","2021-04-29"
"157","แฟลต 11-18 (ลาน 1)","แฟลต 16 ถ. อาจณรงค์","1033","c","2","150","","","นายอุดม  เป็นสุยข","ตะกร้อ ตะกร้อลอดห่วง","1550","8","2563","","2020-09-23","2021-04-29"
"156","ริมทางรถไฟสายท่าเรือ (ลาน 1)","หน้าที่ทำการเยาวชนชุมชนริมทางรถไฟสายท่าเรือ","1033","c","2","50","","","นายแสวง  เฉิดพูล","ฟุตบอล บาสเกตบอล ตะกร้อ วอลเล่ย์บอล แบดมินตัน สนามเด็กเล่น","1860","8","2563","","2020-09-23","2021-04-29"
"155","โรงเรียนวัดคลองเตยใน","ถ. ณ ระนอง","1033","c","1","187.5","","","","ฟุตบอล บาสเกตบอล วอลเล่ย์บอล แบดมินตัน วิ่ง แอโรบิค","2170","8","2563","","2020-09-23","2021-04-29"
"154","ริมคลองสามัคคี","ชุมชนริมคลองสามัคคีธรรม ถ.ริมทาง รถไฟสายปากน้ำเก่า","1033","c","2","63","","","นายอุดม  เป็นสุข","ฟุตบอล บาสเกตบอล ตะกร้อ แบดมินตัน สนามเด็กเล่น","930","8","2563","","2020-09-23","2021-04-29"
"153","โรงเรียนชุมชนหมู่บ้านพัฒนา","ถ. อาจณรงค์","1033","a","1","800","","","ผ.อ.วิเชียร  รัตนเสถียร","ฟุตบอล ตะกร้อ เปตอง วอลเล่ย์บอล แบดมินตัน","2170","8","2563","","2020-09-23","2021-04-29"
"152","ล็อค 4-5-6 (ลาน 2)","ถ. อาจณรงค์","1033","c","2","139.5","","","นายณรงค์  เกียรติพัฒนากุล","ฟุตบอล แอโรบิค ตะกร้อ","2170","8","2563","","2020-09-23","2021-04-29"
"151","ล็อค 4-5-6 (ลาน 1)","ถ. อาจณรงค์","1033","c","2","137.5","","","นายณรงค์  เกียรติพัฒนากุล","ฟุตบอล แอโรบิค ตะกร้อ","1240","8","2563","","2020-09-23","2021-04-29"
"150","น้องใหม่","ใต้ทางด่วนหน้าชุมชนน้องใหม่ ถ.อาจณรงค์","1033","c","3","25.13","","","","ฟุตบอล บาสเกตบอล","930","8","2563","","2020-09-23","2021-04-29"
"149","โรงเรียนศูนย์รวมน้ำใจ","ถ. อาจณรงค์","1033","c","1","187.5","","","ผ.อ.อุเทน  ธานนท์","บาสเกตบอล ตะกร้อ วอลเล่ย์บอล แบดมินตัน","2170","8","2563","","2020-09-23","2021-04-29"
"148","แฟลต 1-10 (ลาน 5)","ชุมชนแฟลต 1-10 ถ.อาจณรงค์","1033","c","2","120","","","นายไพทรูย  เปรมประชา","เปตอง สนามเด็กเล่น","930","8","2563","","2020-09-23","2021-04-29"
"147","แฟลต 1-10 (ลาน 4)","ชุมชนแฟลต 1-10 ถ.อาจณรงค์","1033","c","2","143","","","นายไพทรูย  เปรมประชา","ฟุตบอล บาสเกตบอล","930","8","2563","","2020-09-23","2021-04-29"
"146","แฟลต 1-10 (ลาน 3)","ชุมชนแฟลต 1-10 ถ.อาจณรงค์","1033","c","2","130","","","นายไพทรูย  เปรมประชา","ฟุตบอล แบดมินตัน","930","8","2563","","2020-09-23","2021-04-29"
"145","แฟลต 1-10 (ลาน 2)","ชุมชนแฟลต 1-10 ถ.อาจณรงค์","1033","c","2","25","","","นายไพทรูย  เปรมประชา","แบดมินตัน วิ่ง","620","8","2563","","2020-09-23","2021-04-29"
"144","แฟลต 1-10 (ลาน 1)","ชุมชนแฟลต 1-10 ถ.อาจณรงค์","1033","a","2","450","","","นายไพทรูย  เปรมประชา","ฟุตบอล ตะกร้อ","1240","8","2563","","2020-09-23","2020-09-23"
"143","พัฒนาใหม่ (ลาน 3)","ถ.สุนทรโกษา","1033","a","2","1600","","","","ฟุตบอล บาสเกตบอล ตะกร้อ","1240","8","2563","","2020-09-23","2020-09-23"
