name_sport,location_sport,dcode,stdcode,type_sport,area_sm,data_perf,ownership,chairman,detail,num_users,sum_month,sum_year,remark
การเคหะรามอินทรา,ถ.รามอินทรา แขวงท่าแร้ง,1005,A,1,1200,มีการจัดกิจกรรมเปตอง แอโรบิค และสนามเด็กเล่น,ให้ กทม.ใช้ประโยชน์ตามบันทึกข้อตก ลว 25 ก.ย.41,นายเสกสรรค์   พงศาสกุลโชติ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,ตะกร้อลอดห่วง,กิจกรรม,สนามเด็กเล่น,หมากฮอส,วอลเล่ย์บอล,เปตอง",1302,6,2565,
สุขใจวิลเลจ,ซ.รามอินทรา 56 แขวงท้าแร้ง,1005,A,1,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายยุทธชัย  อภิชัยชาญกิจ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส",480,6,2565,
โรงเรียนวัดไตรรัตนาราม,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ โทร.025211289,1005,C,2,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล เทเบิลเทนนิส และสนามเด็กเล่น,กทม.,นายสมสกุล  สุขวรรณ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน,เปตอง",1230,6,2565,
เพชรสยาม,ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,1005,A,1,1100,มีการจัดกิจกรรมฟุตบอล และตะกร้อ,กทม.,นายพงษ์ทวี พันธ์ลำเจียก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วิ่ง,สนามเด็กเล่น",1385,6,2565,
หมู่บ้านเมธา  1,2298 ซ.  สยามธรณี  แขวงท่าแร้ง,1005,C,1,40,,เอกชน,นายเฉลิมชัย  คงสุวรรณ,"ฟุตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",320,6,2565,
ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,8510 ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,150,มีการจัดกิจกรรมวอลเลย์บอล และแบดมินตัน,เอกชน มีสัญญายินยอม,นายยุทธนา  แสนละเอียด,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",600,6,2565,
ฝนทองนิเวศน์,ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,70,มีการจัดกิจกรรมเครื่องออกกำลังกาย และแอโรบิค และตะกร้อ,เอกชน,นางดวงใจ  ทองประเสริฐ,"ตะกร้อ,บาส,ฟุตบอล,ปิงปอง,วิ่ง,จักรยาน,สนามเด็กเล่น",48,6,2565,
สมาคมหมู่บ้านสวัสดิการ(ทหารบก) อยู่เย็นเป็นสุข,ซ.รามอินทรา 34 แขวงท่าแร้ง,1005,A,1,200,มีการจัดกิจกรรมบาสเกตบอล แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายทศพร  สนิท,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส,แบดมินตัน,เปตอง",620,6,2565,
ชุมชนหมู่บ้านสดใส,5983 แขวงคลองถนน (กูบแดง) แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,200,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเครื่องออกกำลังกาย,เอกชน,พันจ่าอากาศเอกวีระศักดิ์ ยี่สุ่นศรี,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",408,6,2565,
ปั้นทอง 3,ถ.ลาดปลาเค้า 85 แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,800,มีการจัดกิจกรรมเครื่องออกกำลังกาย,เอกชน,นางสิรัชชา  เดชายาประสิทธิ์,"ฟุตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,วิ่ง,แอโรบิค,สนามเด็กเล่น",747,6,2565,
สินทรัพย์นคร ลาน1,ซ.พหลโยธิน 50 แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเปตอง,เอกชน มีสัญญายินยอม,นายจตุพร  สังข์ทอง,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,สนามเด็กเล่น",1873,6,2565,
อยู่เจริญ,ซ.พหลโยธิน 50 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายเสถียร  ตรีภพ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตั้น,วิ่ง,สนามเด็กเล่น",1573,6,2565,
โรงเรียนบ้านคลองบัว,ซ.รามอินทรา31 แขวงท่าแร้ง เขตบางเขน,1005,C,2,300,มีการจัดกิจกรรมฟุตบอล วอเลย์บอล และสนามเด็กเล่น,กทม.,นายสุภาพ  น้อยมาก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน",1210,6,2565,
โรงเรียนประชาภิบาล,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร 025210424,1005,C,2,400,มีการจัดกิจกรรมฟุตบอล และสนามเด็กเล่น,กทม.,นางสาวโชตศิกาญจน์ ยุติธรรมนนท์,"ฟุตบอล,บาสเก็ตบอล,วอลเล่ย์บอล,แบดมินตัน,แอโรบิค,กายบริหาร,เกมส์,สนามเด็กเล่น,ปิงปอง",591,6,2565,
โรงเรียนไทยนิยมสงเคราะห์,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร.025210198,1005,C,2,800,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล และสนามเด็กเล่น,กทม.,นายยุทธนา  โคตรสาร,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,ปิงปอง,สนามเด็กเล่น,แบดมินตัน,เปตอง",1027,6,2565,
ชุมชนพัชรัฐ,3257 แขวงท่าแร้ง เขตบางเขน,1005,B,1,400,มีการจัดกิจกรรมบาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายกิตตินันท์  มาฆะวงศ์,"ฟุตบอล,บาสเกตบอล,แบดมินตัน,วิ่ง,สนามเด็กเล่น",934,6,2565,
หมู่บ้านรุ่งสว่างวิลเลจ,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ เขตบางเขน,1005,A,1,800,มีการจัดกิจกรรมบาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นางสาวสุดจิต  เขียวอุไร,"ฟุตบอล,บาส,แบดมินตัน,ปิงปอง,วิ่ง,สนามเด็กเล่น",1060,6,2565,
การเคหะรามอินทรา,ถ.รามอินทรา แขวงท่าแร้ง,1005,A,1,1200,มีการจัดกิจกรรมเปตอง แอโรบิค และสนามเด็กเล่น,ให้ กทม.ใช้ประโยชน์ตามบันทึกข้อตก ลว 25 ก.ย.41,นายเสกสรรค์   พงศาสกุลโชติ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,ตะกร้อลอดห่วง,กิจกรรม,สนามเด็กเล่น,หมากฮอส,วอลเล่ย์บอล,เปตอง",1466,5,2565,
สุขใจวิลเลจ,ซ.รามอินทรา 56 แขวงท้าแร้ง,1005,A,1,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายยุทธชัย  อภิชัยชาญกิจ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส",485,5,2565,
โรงเรียนวัดไตรรัตนาราม,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ โทร.025211289,1005,C,2,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล เทเบิลเทนนิส และสนามเด็กเล่น,กทม.,นายสมสกุล  สุขวรรณ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน,เปตอง",639,5,2565,
เพชรสยาม,ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,1005,A,1,1100,มีการจัดกิจกรรมฟุตบอล และตะกร้อ,กทม.,นายพงษ์ทวี พันธ์ลำเจียก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วิ่ง,สนามเด็กเล่น",1124,5,2565,
หมู่บ้านเมธา  1,2298 ซ.  สยามธรณี  แขวงท่าแร้ง,1005,C,1,40,,เอกชน,นายเฉลิมชัย  คงสุวรรณ,"ฟุตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",320,5,2565,
ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,8510 ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,150,มีการจัดกิจกรรมวอลเลย์บอล และแบดมินตัน,เอกชน มีสัญญายินยอม,นายยุทธนา  แสนละเอียด,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",314,5,2565,
ฝนทองนิเวศน์,ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,70,มีการจัดกิจกรรมเครื่องออกกำลังกาย และแอโรบิค และตะกร้อ,เอกชน,นางดวงใจ  ทองประเสริฐ,"ตะกร้อ,บาส,ฟุตบอล,ปิงปอง,วิ่ง,จักรยาน,สนามเด็กเล่น",40,5,2565,
สมาคมหมู่บ้านสวัสดิการ(ทหารบก) อยู่เย็นเป็นสุข,ซ.รามอินทรา 34 แขวงท่าแร้ง,1005,A,1,200,มีการจัดกิจกรรมบาสเกตบอล แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายทศพร  สนิท,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส,แบดมินตัน,เปตอง",190,5,2565,
ชุมชนหมู่บ้านสดใส,5983 แขวงคลองถนน (กูบแดง) แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,200,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเครื่องออกกำลังกาย,เอกชน,พันจ่าอากาศเอกวีระศักดิ์ ยี่สุ่นศรี,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",532,5,2565,
ปั้นทอง 3,ถ.ลาดปลาเค้า 85 แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,800,มีการจัดกิจกรรมเครื่องออกกำลังกาย,เอกชน,นางสิรัชชา  เดชายาประสิทธิ์,"ฟุตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,วิ่ง,แอโรบิค,สนามเด็กเล่น",1269,5,2565,
สินทรัพย์นคร ลาน1,ซ.พหลโยธิน 50 แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเปตอง,เอกชน มีสัญญายินยอม,นายจตุพร  สังข์ทอง,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,สนามเด็กเล่น",1768,5,2565,
อยู่เจริญ,ซ.พหลโยธิน 50 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายเสถียร  ตรีภพ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตั้น,วิ่ง,สนามเด็กเล่น",1426,5,2565,
โรงเรียนบ้านคลองบัว,ซ.รามอินทรา31 แขวงท่าแร้ง เขตบางเขน,1005,C,2,300,มีการจัดกิจกรรมฟุตบอล วอเลย์บอล และสนามเด็กเล่น,กทม.,นายสุภาพ  น้อยมาก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน",180,5,2565,
โรงเรียนประชาภิบาล,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร 025210424,1005,C,2,400,มีการจัดกิจกรรมฟุตบอล และสนามเด็กเล่น,กทม.,นางสาวโชตศิกาญจน์ ยุติธรรมนนท์,"ฟุตบอล,บาสเก็ตบอล,วอลเล่ย์บอล,แบดมินตัน,แอโรบิค,กายบริหาร,เกมส์,สนามเด็กเล่น,ปิงปอง",150,5,2565,
