name,dcode,address,tel,new_pat,old_pat,Latitude,Longitude
ศูนย์บริการสาธารณสุข 24 บางเขน,"1030",62 ถนนพหลโยธิน 45 แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,02-579-1342,"7612","13469",13.84983104,100.58110000
ศูนย์บริการสาธารณสุข 56 ทับเจริญ,"1027",43/1 หมู่ 12 ซอยนวลจันทร์ ถนนรามอินทรา 40 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ10230,02-510-4955,"10260","23350",13.83723720,100.63686860
ศูนย์บริการสาธารณสุข 19 วงศ์สว่าง,"1029",675 ถนนวงศ์สว่าง แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ 10800,0-2910-7314,"7197","9964",13.82750516,100.52628770
ศูนย์บริการสาธารณสุข 46 กันตารัติ อุทิศ,"1011",523/2 ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพฯ 10520,02-329-0320,"6465","13084",13.72314624,100.72198670
ศูนย์บริการสาธารณสุข 27 จันทร์ฉิมไพบูลย์,"1015",359 ถนนเทอดไท แขวงบางยี่เรือ เขตธนบุรี กรุงเทพฯ 10600,02-465-1000,"9309","23814",13.72185745,100.48125690
ศูนย์บริการสาธารณสุข 22 วัดปากบ่อ,"1034",235 ซอยอ่อนนุช 35 ถนนสุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250,02-321-2683,"9163","20170",13.71290235,100.63180710
ศูนย์บริการสาธารณสุข 29 ช่วงนุชเนตร,"1035",27/21 ซอยวุฒากาศ49 ถนนวุฒากาศ แขวงบางค้อ เขตจอมทอง กรุงเทพฯ 10150,02-476-6495,"10981","21168",13.70509703,100.46840840
ศูนย์บริการสาธารณสุข 8 บุญรอด  รุ่งเรือง,"1047",119 หมู่12ซอยอุดมสุข18 ถนนสุขุมวิท103 แขวงบางนา เขตบางนา กรุงเทพฯ 10260,02-361-6760,"12300","16348",13.67736329,100.61500720
ศูนย์บริการสาธารณสุข 17 ประชานิเวศน์,"1030",หมู่บ้านประชานิเวศน์ 1 ถนนเทศบาลสงเคราะห์ แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900,02-589-5768,"7128","9030",13.83938552,100.54648310
ศูนย์บริการสาธารณสุข 38  จี๊ด - ทองคำ  บำเพ็ญ,"1002",72 องค์ทอผ้าเก่า ถนนทหาร แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพฯ 10300,02-241-8378-82,"5628","13129",13.79757244,100.51949170
ศูนย์บริการสาธารณสุข 26 เจ้าคุณพระประยูรวงศ์,"1015",เทศบาลสาย 1 แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพฯ 10600,02-4650014,"3309","6743",13.73811997,100.49583010
ศูนย์บริการสาธารณสุข 49 ชัยพฤกษ์มาลา,"1019",7/2 หมู่ 4 ถนนชัยพฤษกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพ 10170,02-424-9410,"7789","13928",13.79492331,100.46840910
ศูนย์บริการสาธารณสุข 31 เอิบ - จิตร ทังสุบุตร,"1025",252 ถนนจรัญสนิทวงศ์ แขวงบางอ้อ เขตบางพลัด กรุงเทพฯ 10700,02-424-6933,"7919","21876",13.79633471,100.50814200
ศูนย์บริการสาธารณสุข 33 วัดหงส์รัตนาราม,"1016",42 ริมคลองบางกอกใหญ่ ถนนวังเดิม แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพฯ 10600,02-472-5895-6,"10972","20833",13.73936569,100.48875920
ศูนย์บริการสาธารณสุข 60 รสสุคนธ์ มโนชญากร,"1036",60 หมู่ 4 ถนนสรงประภา แขวงสีกัน เขตดอนเมือง กรุงเทพฯ 10210,02-565-5257-8,"5358","11658",13.92545433,100.58049630
ศูนย์บริการสาธารณสุข 47คลองขวาง,"1022",9 หมู่ 2 ถนนจรัญสนิทวงศ์13 แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพฯ 10160,02-410-1810,"4534","10455",13.74334679,100.42385960
ศูนย์บริการสาธารณสุข 40 บางแค,"1040",503/1หมู่1 ถนนเพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพฯ 10160,02-454-4188,"11693","33847",13.71049600,100.40041150
ศูนย์บริการสาธารณสุข 62 ตวงรัชฎ์  ศศะนาวิน ภักดี ฐานปัญญา,"1022",45/600 หมู่14บ้านตวงทอง2 ซอยกำนันแม้น17ถนนสายศาลธนบุรี(เอกชัย36)แขวงบางหว้าเขตภาษีเจริญกรุงเทพฯ10160,02-455-5804,"6381","14834",13.69401499,100.43491160
ศูนย์บริการสาธารณสุข 13 ไมตรีวาณิช,"1013",527 ซอยอาเนี้ยเก็ง ถนนทรางวาด แขวงจักรวรรดิ เขตสัมพันธ์วงศ์ กรุงเทพฯ 10100,02-22-7875,"6245","8414",13.73976850,100.50577100
ศูนย์บริการสาธารณสุข 9 ประชาธิปไตย,"1001",64 ถนนประชาธิปไตย แขวงบ้านพานถม เขตพระนคร กรุงเทพฯ 10200,02-281-7816,"5626","18404",13.76112427,100.50375320
ศูนย์บริการสาธารณสุข 5 จุฬาลงกรณ์,"1007",248 ซอยจุฬาฯ แขวงวังหใม่ เขตปทุมวัน กรุงเทพฯ 10330,02-214-1057,"4704","8816",13.74097269,100.52527600
ศูนย์บริการสาธารณสุข 2 ราชปรารภ,"1037",509 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพฯ 10400,02245-9144,"31680","7107",13.75560732,100.54160220
ศูนย์บริการสาธารณสุข 25 ห้วยขวาง,"1017",2 สำนักงานเขตห้วยขวาง ถนนประชาอุทิศ แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพฯ 10310,02-2772660,"4421","8635",13.77640740,100.57891280
ศูนย์บริการสาธารณสุข 52 สามเสนนอก,"1026",2000/30 ถนนประชาสงเคราะห์ แขวงดินแดง เขตดินแดง กรุงเทพฯ 10320,02-276-5996,"8054","13867",13.77745724,100.57026290
ศูนย์บริการสาธารณสุข 50 บึงกุ่ม,"1027",190 ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ 10240,02-375-2897,"9089","19636",13.77284851,100.65539220
ศูนย์บริการสาธารณสุข 35 หัวหมาก,"1006",ซอยรามคำแหง 40 (เสริมมิตร)ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240,02-3743550,"6735","12685",13.76045245,100.63896100
ศูนย์บริการสาธารณสุข 14 แก้ว  สีบุญเรือง,"1031",389/1 ซอยจันทน์ 42 ถนนจันทน์ แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพฯ 10120,02-111-2353,"2773","4751",13.70936738,100.51477870
ศูนย์บริการสาธารณสุข 18 มงคล - วอน  วังตาล,"1031",863/2 ซอยวัดไผ่เงิน ถนนจันทร์ แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ,02-211-0860,"5077","7656",13.70021502,100.52661180
ศูนย์บริการสาธารณสุข 55 เตชะสัมพันธ์,"1012",27/4 ถนนพระราม 3 ซอย 48 แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ 10120,02-294-3247,"3101","5747",13.68251057,100.54830630
ศูนย์บริการสาธารณสุข 7 บุญมี  ปุรุราชรังสรรค์,"1012",663 ถนนสาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120,02-294-3305-6,"12332","27734",13.68099490,100.53119780
ศูนย์บริการสาธารณสุข 58 ล้อม-พิมเสน  ฟักอุดม,"1024",51 หมู่ 9 ซอยสุขสวัสดิ์ 30 ถนนสุขสวัสดิ์ แขวงบางปะกอก เขตราษฎรบูรณะ กรุงเทพฯ 10140,02-427-7512,"4990","9183",13.67856718,100.49581670
ศูนย์บริการสาธารณสุข 39 ราษฏร์บูรณะ,"1024",277/1 หมู่3 ถนนราษฎณ์บูรณะ แขวงราษฎรบูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140,02-2427-7949,"6814","12655",13.68096575,100.50678230
ศูนย์บริการสาธารณสุข 54 ทัศน์เอี่ยม,"1049",364/79 หมู่ 2 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพฯ 10140,02-426-3514,"5762","9681",13.65029964,100.48858370
ศูนย์บริการสาธารณสุข 59 ทุ่งครุ,"1049",309 หมู่ 5 ซอยอาคารสงเคราะห์ทุ่งครุ ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพฯ10140,02-464-3057,"7325","11260",13.60717568,100.50646130
ศูนย์บริการสาธารณสุข 36 บุคคโล,"1015",779/2 เชิงสะพานเจริญนคร 8 ถนนเจริญนคร กรุงเทพฯ,02-4685297,"2668","8197",13.69576180,100.48663220
ศูนย์บริการสาธารณสุข 23 สี่พระยา,"1004",383/4 ถนนสี่พระยา แขวงสี่พระยา เขตบางรัก กรุงเทพฯ 10500,02-236-4055,"7025","14619",13.73060820,100.52033770
ศูนย์บริการสาธารณสุข 28 ลาดหญ้า,"1018",124/16 ถนนกรุงธนบุรี แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพฯ 10600,02-437-2009,"4757","4421",13.72044070,100.50067140
ศูนย์บริการสาธารณสุข 20 ธนาคารนครหลวงไทย,"1008",29/1 ซอยเฉลิมเขต 2 ถนนพลับพลาไชย แขวงเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ,02-23-0004,"2360","5163",13.74901548,100.51359240
