fid,gml_id,name,location,dcode,stdcode,type,area,y,x
"1",groundsport.1,โรงเรียนโยธินบูรณะ,โรงเรียนโยธินบูรณะ  ถ.สามเสน  แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",B,"2",2800 ตร.ว.,13.7966785854612,100.520341879744
"2",groundsport.2,กรมยุทธศึกษาทหารบก,กรมยุทธศึกษาทหารบก หลังแฟลต ส.3 แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",A,"6",1 ไร่ 195 ตร.ว.,13.7836307548812,100.530412156745
"3",groundsport.3,กรมสรรพาวุธทหารบก,บ้านพักสรรพวุธนิเวศน์ เยื้อง ซ.วัดประชาฯ ถ.พระราม5 เขตดุสิต กทม.,"1002",B,"5",1067.47 ตร.ม.,13.7984989021542,100.526774614528
"4",groundsport.4,ชุมชนสะพานเกษะโกมล,มณฑลทหารบกที่ 11 แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",B,"5",2220 ตร.ม.,13.7823784634549,100.526255477593
"5",groundsport.5,ชุมชนเกียกกาย (พล ปตอ.),พล ปตอ. พื้นที่เกียกกาย,"1002",B,"5",9000 ตร.ม.,13.7965397145928,100.526784499049
"6",groundsport.6,ชุมชนวัดญวน - คลองลำปัก,สะพานขาว วัดญวณ - คลองลำปัก,"1002",B,"5",1 ไร่,13.7547634316772,100.520311902429
"7",groundsport.7,ลานกีฬาท่าวาสุกรี,ชุมชนท่าวาสุกรี ถ.สามเสน แขวงวชิรพยาบาล เขตดุสิต กทม.,"1002",B,"5",1000 ตร.ม.,13.7719535765172,100.505232717651
"8",groundsport.8,ลานกีฬายานเกราะ (กองพันทหารม้าที่ 3 รอ.),กองพันทหารม้าที่ 3 รักษาพระองค์ฯ 1158 ถ.ทหาร แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",B,"8",400 ตร.ม.,13.7958996644537,100.524346994182
"9",groundsport.9,โรงเรียนช่างอากาศบำรุง,กรมช่างอากาศ ถ.พระราม5 แขวงถนนนครไชยศรี เขตดุสิต,"1002",C,"3",3 ไร่,13.7966565556442,100.532395352424
"10",groundsport.10,โรงเรียนวัดจันทร์สโมสร,โรงเรียนวัดจันทร์สโมสร ถ.สามเสน แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",C,"1",1000 ตร.ม.,13.7910719189858,100.515165346587
"11",groundsport.11,โรงเรียนวัดประชาระบือธรรม,ชุมชนวัดประชาระบือธรรม 1 ถ.พระราม 5 แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",C,"1",600 ตร.ม.,13.7908371729814,100.525832098744
"12",groundsport.12,โรงเรียนมัธยมวัดเบญจมบพิตร,โรงเรียนมัธยมวัดเบญจมบพิตร,"1002",C,"1",1000 ตร.ม.,13.7654480030834,100.5123376069
"13",groundsport.13,ชุมชนบางกระบือ14,ชุมชนบางกระบือ14 ถ.สามเสน ซอย28 แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",C,"5",1000 ตร.ม.,13.7897044441572,100.515459239882
"14",groundsport.14,ชุมชนซอยสันติสุข,ชุมชนซอยสันติสุข ถ.นครไชยศรี  แขวงถนนนครไชยศรี เขตดุสิต กทม.,"1002",C,"5",800 ตร.ม.,13.7816290501293,100.521854338696
